epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
189,298.984,0.49112,0.31021,0.85338,0.99941,1,0.995,0.80065,0.83113,0.33053,1.023,0.0001388,0.0001388,0.0001388
190,300.523,0.50928,0.31594,0.8601,0.99941,1,0.995,0.7999,0.83257,0.32864,1.02901,0.0001289,0.0001289,0.0001289
191,302.436,0.46969,0.29572,0.8636,0.9994,1,0.995,0.79913,0.84408,0.33812,1.03037,0.000119,0.000119,0.000119
192,303.969,0.46483,0.28747,0.86891,0.99937,1,0.995,0.80165,0.84237,0.33431,1.02875,0.0001091,0.0001091,0.0001091
193,305.483,0.45079,0.28142,0.84781,0.99938,1,0.995,0.79213,0.83919,0.33146,1.02557,9.92e-05,9.92e-05,9.92e-05
194,307.008,0.43321,0.27311,0.84133,0.9994,1,0.995,0.80374,0.83588,0.33526,1.02439,8.93e-05,8.93e-05,8.93e-05
195,308.524,0.42433,0.26394,0.84546,0.9994,1,0.995,0.80301,0.83966,0.33883,1.02939,7.94e-05,7.94e-05,7.94e-05
196,310.049,0.43591,0.27138,0.85033,0.9994,1,0.995,0.80366,0.84523,0.3329,1.03196,6.95e-05,6.95e-05,6.95e-05
197,311.561,0.42294,0.26618,0.843,0.9994,1,0.995,0.80604,0.8372,0.33003,1.02755,5.96e-05,5.96e-05,5.96e-05
198,313.085,0.41415,0.26603,0.83351,0.9994,1,0.995,0.79534,0.84431,0.33411,1.0335,4.97e-05,4.97e-05,4.97e-05
199,314.595,0.42576,0.2655,0.85437,0.9994,1,0.995,0.7979,0.84428,0.33733,1.03137,3.98e-05,3.98e-05,3.98e-05
200,316.117,0.40428,0.26181,0.83135,0.9994,1,0.995,0.79861,0.83994,0.33405,1.02682,2.99e-05,2.99e-05,2.99e-05
