epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,76.1379,0.97621,0.526,1.04016,1,0.99657,0.995,0.73558,1.00884,0.48435,1.10531,0.0015842,0.0015842,0.0015842
44,77.6609,1.00174,0.55734,1.0625,0.99905,1,0.995,0.74403,1.01852,0.4681,1.10864,0.0015743,0.0015743,0.0015743
45,79.1754,0.95285,0.52219,1.02463,0.99488,1,0.995,0.75352,1.03962,0.47142,1.1143,0.0015644,0.0015644,0.0015644
46,80.7032,1.00511,0.5183,1.05172,0.99845,1,0.995,0.7011,1.09011,0.46506,1.15974,0.0015545,0.0015545,0.0015545
47,82.2163,0.99902,0.52738,1.06221,0.9992,1,0.995,0.71497,1.06688,0.45198,1.14535,0.0015446,0.0015446,0.0015446
48,84.0064,0.94515,0.50504,1.04773,0.99898,1,0.995,0.72856,1.03867,0.46699,1.12835,0.0015347,0.0015347,0.0015347
49,85.5233,0.92434,0.50784,1.0325,0.99328,1,0.995,0.72796,1.02149,0.49698,1.11017,0.0015248,0.0015248,0.0015248
50,87.0537,0.91324,0.49245,1.02403,0.99771,1,0.995,0.69429,1.13934,0.50093,1.20331,0.0015149,0.0015149,0.0015149
51,88.5663,0.94395,0.51013,1.02897,0.99814,1,0.995,0.71632,1.07997,0.47667,1.1606,0.001505,0.001505,0.001505
52,90.0909,0.95702,0.49976,1.03588,0.99551,1,0.995,0.74159,1.06564,0.45438,1.12385,0.0014951,0.0014951,0.0014951
53,91.6024,0.93232,0.50877,1.02293,1,1,0.995,0.76738,0.95964,0.43928,1.07099,0.0014852,0.0014852,0.0014852
54,93.132,0.94019,0.50413,1.02466,0.99903,1,0.995,0.76345,0.95173,0.42341,1.07315,0.0014753,0.0014753,0.0014753
55,94.6463,0.94095,0.51041,1.0386,0.99929,1,0.995,0.71772,1.1128,0.47044,1.16956,0.0014654,0.0014654,0.0014654
56,96.1764,0.95986,0.49803,1.02903,0.99939,1,0.995,0.69907,1.0853,0.46396,1.15355,0.0014555,0.0014555,0.0014555
57,97.6965,0.96284,0.50794,1.04093,0.99906,0.9898,0.9949,0.74085,0.95113,0.44407,1.07288,0.0014456,0.0014456,0.0014456
