epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,20.3602,0.75903,0.97253,0.92421,0.88717,0.71603,0.8267,0.70094,0.80425,2.15518,0.94985,0.0013231,0.0013231,0.0013231
43,20.6336,0.75083,0.90864,0.91693,0.90026,0.82077,0.84833,0.74885,0.76376,1.96563,0.95843,0.00134657,0.00134657,0.00134657
44,20.911,0.6701,0.8829,0.88027,0.90528,0.87098,0.85648,0.7707,0.6669,1.77205,0.93146,0.00136964,0.00136964,0.00136964
45,21.1892,0.73287,0.8843,0.90036,0.86992,0.81818,0.77343,0.68591,0.64753,1.69602,0.90591,0.00139232,0.00139232,0.00139232
46,21.4618,0.74073,0.85661,0.92288,0.86888,0.81818,0.74944,0.68375,0.62753,1.73602,0.89585,0.0014146,0.0014146,0.0014146
47,21.741,0.76632,0.84834,0.90645,0.86567,0.81818,0.78871,0.67383,0.6905,1.72913,0.9109,0.00143648,0.00143648,0.00143648
48,22.0115,0.77983,0.88358,0.9227,0.87085,0.81818,0.86341,0.72431,0.76565,1.69577,0.97709,0.00145797,0.00145797,0.00145797
49,22.2837,0.71909,0.84544,0.90265,0.90573,0.87547,0.87278,0.72093,0.7636,1.61235,0.97803,0.00147906,0.00147906,0.00147906
50,22.5683,0.68583,0.8096,0.88363,0.90552,0.8734,0.85642,0.71438,0.74813,1.53092,0.93679,0.00149975,0.00149975,0.00149975
51,22.8476,0.72937,0.86407,0.92211,0.90688,0.88701,0.8401,0.71264,0.76585,1.43855,0.92601,0.001505,0.001505,0.001505
52,23.1181,0.75734,0.80104,0.8949,0.9073,0.89117,0.84834,0.69689,0.77519,1.4749,0.92258,0.0014951,0.0014951,0.0014951
53,23.3886,0.74529,0.82599,0.88528,0.90737,0.89192,0.86473,0.71725,0.80318,1.47927,0.91957,0.0014852,0.0014852,0.0014852
54,23.6675,0.82091,0.87233,0.95467,0.9071,0.88914,0.86473,0.72465,0.75302,1.40623,0.92273,0.0014753,0.0014753,0.0014753
55,23.94,0.71031,0.78493,0.90458,0.88875,0.81818,0.83669,0.71732,0.73307,1.32029,0.92694,0.0014654,0.0014654,0.0014654
56,24.2118,0.78593,0.92151,0.95603,0.88975,0.81818,0.81853,0.68296,0.74606,1.1785,0.94643,0.0014555,0.0014555,0.0014555
57,24.4836,0.60757,0.795,0.84684,0.89205,0.81818,0.8217,0.66684,0.79216,1.12166,1.00008,0.0014456,0.0014456,0.0014456
58,24.7549,0.66525,0.79941,0.88467,0.89284,0.81818,0.81047,0.66459,0.79806,1.13936,0.98294,0.0014357,0.0014357,0.0014357
59,25.0666,0.67885,0.81352,0.90464,0.89246,0.81818,0.85271,0.72678,0.67874,1.03378,0.94248,0.0014258,0.0014258,0.0014258
60,25.3379,0.70127,0.77282,0.89667,0.89286,0.81818,0.84838,0.70973,0.65133,0.98191,0.9302,0.0014159,0.0014159,0.0014159
61,25.6106,0.67888,0.69857,0.87808,0.8917,0.81818,0.86664,0.6776,0.68924,0.97501,0.93329,0.001406,0.001406,0.001406
62,25.8826,0.72186,0.75095,0.93799,0.89147,0.81818,0.84139,0.68667,0.73951,1.04643,0.9428,0.0013961,0.0013961,0.0013961
63,26.157,0.68813,0.81284,0.87352,0.8921,0.81818,0.83839,0.71085,0.72295,1.0163,0.94709,0.0013862,0.0013862,0.0013862
64,26.427,0.63858,0.72056,0.84085,0.89005,0.81818,0.83462,0.67985,0.77141,0.95074,0.96579,0.0013763,0.0013763,0.0013763
65,26.6992,0.60518,0.7106,0.87427,0.8908,0.81818,0.8624,0.69967,0.73768,0.91927,0.97548,0.0013664,0.0013664,0.0013664
66,26.9699,0.63401,0.69992,0.90505,0.89511,0.81818,0.85801,0.73576,0.67271,0.88651,0.93595,0.0013565,0.0013565,0.0013565
67,27.2425,0.73447,0.76677,0.92532,0.89234,0.81818,0.83822,0.73186,0.68962,0.87636,0.95062,0.0013466,0.0013466,0.0013466
68,27.5206,0.71554,0.74025,0.88778,0.89097,0.81818,0.82215,0.70196,0.7493,0.93546,0.97707,0.0013367,0.0013367,0.0013367
69,27.7924,0.69378,0.72118,0.86858,0.8905,0.81818,0.83465,0.66276,0.84529,1.01954,1.01797,0.0013268,0.0013268,0.0013268
